Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2008;EFC;Álcool;Itaqui;MA;Marabá;PA;369;275.643
01/2008;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;38.821;33.580.165
01/2008;EFC;Coque;Ponta da Madeira Pêra do Píer;MA;Açailândia;MA;1.200;622.800
01/2008;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;65.796;34.411.308
01/2008;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;189.861;142.005.812
01/2008;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;3.000;147.000
01/2008;EFC;Ferro Gusa;Santa Inês;MA;Ponta da Madeira Pêra do Píer;MA;23.882;5.325.686
01/2008;EFC;Gasolina;Itaqui;MA;Açailândia;MA;9.645;5.034.690
01/2008;EFC;Gasolina;Itaqui;MA;Marabá;PA;5.187;3.874.689
01/2008;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;109.240;97.442.080
01/2008;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;62.800;32.216.400
01/2008;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;231.735;87.827.565
01/2008;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;225.447;34.718.838
01/2008;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;36.364;31.018.492
01/2008;EFC;Minério de Ferro;Carajás;PA;Santa Inês;MA;27.396;18.601.884
01/2008;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;7.781.003;6.940.654.676
01/2008;EFC;Minério de Ferro;Marabá;PA;Virador de Vagões Minério;MA;176.000;129.888.000
01/2008;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;11.800;460.200
01/2008;EFC;Minério de Ferro;Santa Inês;MA;Virador de Vagões Minério;MA;16.600;3.535.800
01/2008;EFC;Óleo Diesel;Itaqui;MA;Açailândia;MA;315;164.430
01/2008;EFC;Outros - Comb e derivado -  Perigoso;Itaqui;MA;Açailândia;MA;30.702;16.026.444
01/2008;EFC;Outros - Comb e derivado -  Perigoso;Itaqui;MA;Marabá;PA;15.597;11.650.959
01/2008;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Araucária Carga;PR;567;344.169
01/2008;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;2.025;1.492.425
01/2008;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Desvio Ribas;PR;756;383.292
01/2008;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Uvaranas;PR;4.185;2.197.125
01/2008;EFPO;Grãos - Trigo;Cascavel;PR;Boa Vista Velha;SP;18.870;21.172.140
01/2008;EFPO;Grãos - Trigo;Cascavel;PR;Tatui;SP;11.789;7.686.428
01/2008;EFPO;Máquinas, Motores, Peças e acessórios;Cascavel;PR;Guarapuava;PR;1.091;271.659
01/2008;EFPO;Óleo Vegetal;Cascavel;PR;D Pedro II;PR;3.427;2.525.699
